dataset,z_ini,z_fin,x_ini,x_fin,y_ini,y_fin,voidmean,rockmedian,sigla_campo,bacia,condition,formacao,direcao_amostra,klinkenberg,codigo_facies,permeabilidade_longitudinal_m_d,porosidade_perc,log_pixelquadrado,cod_8cl,cod_10cl,reservatorio,classperm,classporo,log_perm,quantiles4,quantiles5,quantiles10
/data/RJS711_F9409H_LIMPA_P_40000nm.nc,140,1567,176,824,178,826,4340.594813,3730.648501,ATP,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,24.6,16.5,-5.625571554,ESF,ESF,HPQHPR,HPQ,HPR,1.390935107," 1570., 7740., 8083., 8382.,61064."," 1570., 7646., 7960., 8200., 8451.,61064."," 1570., 7376., 7646., 7821., 7960., 8083., 8200., 8319., 8451., 8622.,
 61064."
/data/BUZ43_582240_SUJA_AL_20000nm.nc,180,1100,244,1112,239,1107,3638.493094,3986.57475,BUZ,SANTOS,SUJA,BVE,,,,,,,,,,,,," 1661., 7342., 7636., 7919.,62977."," 1661., 7267., 7527., 7743., 7988.,62977."," 1661., 7060., 7267., 7409., 7527., 7636., 7743., 7856., 7988., 8172.,
 62977."
/data/RJS743A_V017655H_LIMPA_P_57895nm.nc,80,1655,144,588,145,589,2435.739384,4025.804888,MRO,SANTOS,LIMPA,BVE,VH1,TRUE,GST,713,18,-4.156195194,GST,GST,HPQHPR,HPQ,HPR,2.85308953," 2516., 6019., 6479., 6767.,60749."," 2516., 5853., 6336., 6599., 6825.,60749."," 2516., 5293., 5853., 6146., 6336., 6479., 6599., 6711., 6825., 6959.,
 60749."
/data/LL19_F8275H_LIMPA_P_38500nm.nc,65,1535,179,864,179,864,2645.037841,3488.336076,TUP,SANTOS,LIMPA,BVE,VH1,TRUE,GST,1.81,15,-6.773860694,GST,GST,LPQHPR,LPQ,HPR,0.257678575," 1925., 5867., 6148., 6412.,61459."," 1925., 5792., 6046., 6249., 6476.,61459."," 1925., 5579., 5792., 5932., 6046., 6148., 6249., 6354., 6476., 6647.,
 61459."
/data/LL27_G0694H_LIMPA_P_38500nm.nc,50,1407,177,855,180,858,3800.602862,4664.351022,TUP,SANTOS,LIMPA,BVE,VH1,TRUE,ETR,6.39,12.8,-6.217116656,ETR,ETR,LPQHPR,LPQ,HPR,0.805500858," 2756., 8034., 8534., 8953.,65335."," 2756., 7888., 8360., 8698., 9049.,65335."," 2756., 7422., 7888., 8157., 8360., 8534., 8698., 8864., 9049., 9294.,
 65335."
/data/ATP4_532040_LIMPA_AL_20315nm.nc,100,1115,210,991,210,991,2077.711254,4344.186744,ATP,SANTOS,LIMPA,BVE,,,,,,,,,,,,," 1121., 5947., 6405., 6785.,54990."," 1121., 5812., 6246., 6554., 6872.,54990."," 1121., 5374., 5812., 6060., 6246., 6405., 6554., 6705., 6872., 7093.,
 54990."
/data/RJS711_F9341H_LIMPA_P_43585nm.nc,35,1385,157,748,156,747,2052.942409,3989.296645,ATP,SANTOS,LIMPA,BVE,VH1,TRUE,GST,263,20.8,-4.591129981,GST,GST,HPQHPR,HPQ,HPR,2.419955748," 1098., 5545., 6114., 6600.,62037."," 1098., 5387., 5911., 6305., 6708.,62037."," 1098., 4919., 5387., 5681., 5911., 6114., 6305., 6499., 6708., 6970.,
 62037."
/data/RJS711_F9341H_SUJA_P_36744nm.nc,155,1668,217,922,237,942,3693.96783,4050.65152,ATP,SANTOS,LIMPA,BVE,VH1,TRUE,GST,263,20.8,-4.596032017,GST,GST,HPQHPR,HPQ,HPR,2.419955748," 3332., 7301., 7753., 8105.,60697."," 3332., 7167., 7597., 7896., 8179.,60697."," 3332., 6735., 7167., 7413., 7597., 7753., 7896., 8035., 8179., 8353.,
 60697."
/data/CRT49_T010035V_LIMPA_P_44058nm.nc,70,855,158,748,157,747,1587.358311,3805.084546,CRT,CAMPOS(M),LIMPA,MCB,VV1,TRUE,,1.74,22.4,-6.778440999,,,LPQHPR,LPQ,HPR,0.240549248,"  832., 5029., 5339., 5612.,63577.","  832., 4942., 5229., 5444., 5677.,63577.","  832., 4680., 4942., 5103., 5229., 5339., 5444., 5553., 5677., 5851.,
 63577."
/data/BUZ43_582600_SUJA_AL_20000nm.nc,125,1210,268,1138,245,1115,3229.465015,3918.576982,BUZ,SANTOS,SUJA,BVE,,,,,,,,,,,,,"  706., 6885., 7175., 7461.,63678.","  706., 6812., 7066., 7282., 7532.,63678.","  706., 6618., 6812., 6950., 7066., 7175., 7282., 7397., 7532., 7722.,
 63678."
/data/BUZ39DA_577100_SUJA_AL_35200nm.nc,135,1462,206,948,203,945,3355.385939,4308.005927,BUZ,SANTOS,SUJA,BVE,,,,11.7,21.7,-5.954943943,,,HPQHPR,HPQ,HPR,1.068185862," 3289., 7205., 7667., 7965.,58784."," 3289., 7057., 7522., 7789., 8029.,58784."," 3289., 6659., 7057., 7329., 7522., 7667., 7789., 7905., 8029., 8190.,
 58784."
/data/MLL69_F6936H_LIMPA_P_39281nm.nc,65,1651,178,857,171,850,6684.891161,3444.066445,MLL,CAMPOS(M),LIMPA,MCB,IH1,TRUE,,,,,,,,,,," 4287., 9796.,10152.,10452.,62423."," 4287., 9692.,10026.,10272.,10514.,62423."," 4287., 9357., 9692., 9882.,10026.,10152.,10272.,10392.,10514.,10654.,
 62423."
/data/RJS756_481800_SUJA_AL_30085nm.nc,300,1784,185,687,175,677,8242.993607,5122.03494,,CAMPOS(M),SUJA,,,,,,,,,,,,,," 2744.,12936.,13603.,14692.,53515."," 2744.,12789.,13330.,13929.,15146.,53515."," 2744.,12401.,12789.,13071.,13330.,13603.,13929.,14375.,15146.,18304.,
 53515."
/data/RJS713_V010071H_LIMPA_P_40427nm.nc,50,1647,172,818,194,840,7130.423768,2764.740981,A559,SANTOS,LIMPA,,VH1,TRUE,ESF,4.65,12.2,-6.355591779,ESF,ESF,LPQHPR,LPQ,HPR,0.667452953," 3687., 9604., 9973.,10271.,63608."," 3687., 9498., 9844.,10092.,10337.,63608."," 3687., 9152., 9498., 9694., 9844., 9973.,10092.,10209.,10337.,10504.,
 63608."
/data/SPS77A_T0105H_LIMPA_P_42000nm.nc,90,1593,191,809,208,826,5930.043641,9610.208145,SPH,SANTOS,LIMPA,BVE,VH2,TRUE,,,,,,,,,,," 7425.,15106.,15526.,15930.,24439."," 7425.,14999.,15370.,15679.,16028.,24439."," 7425.,14711.,14999.,15201.,15370.,15526.,15679.,15841.,16028.,16284.,
 24439."
/data/SPS77A_F6257H_SUJA_P_40000nm.nc,565,2168,193,830,176,813,17680.54772,28169.84661,SPH,SANTOS,SUJA,BVE,,,,,,,,,,,,,"18222.,43257.,46131.,47820.,65535.","18222.,42176.,45275.,46838.,48168.,65535.","18222.,38994.,42176.,44086.,45275.,46131.,46838.,47491.,48168.,49010.,
 65535."
/data/SPS69_F2269H_LIMPA_P_40910nm.nc,80,1030,206,835,194,823,5177.42459,10365.36057,SPH,SANTOS,LIMPA,BVE,VH2,TRUE,,373,16.9,-4.438488085,,,HPQHPR,HPQ,HPR,2.571708832," 4407.,14633.,15843.,16599.,65535."," 4407.,14196.,15467.,16160.,16752.,65535."," 4407.,12696.,14196.,14968.,15467.,15843.,16160.,16452.,16752.,17116.,
 65535."
/data/BUZ54_555520_SUJA_AL_20000nm.nc,160,1200,268,1138,256,1126,3840.991069,3048.896269,BUZ,SANTOS,SUJA,,,,,,,,,,,,,," 2583., 6545., 6894., 7258.,62604."," 2583., 6459., 6762., 7028., 7354.,62604."," 2583., 6230., 6459., 6622., 6762., 6894., 7028., 7175., 7354., 7626.,
 62604."
/data/SPS50_E8527H_LIMPA_P_30000nm.nc,100,1375,242,1114,237,1109,2161.937019,2869.743052,LPA,SANTOS,LIMPA,BVE,VH1,TRUE,,28.3,14.4,-5.572725711,,,HPQHPR,HPQ,HPR,1.451786436,"  502., 4730., 5067., 5445.,63518.","  502., 4645., 4938., 5202., 5544.,63518.","  502., 4388., 4645., 4805., 4938., 5067., 5202., 5357., 5544., 5797.,
 63518."
/data/3RJS731RJ_V012251H_LIMPA_P_40330nm.nc,60,1563,183,828,178,823,2788.840618,4133.863743,MRO,SANTOS,LIMPA,ITP,VH1,TRUE,RDS,0.454,6.3,-7.362556688,RDS,RDS,LPQHPR,LPQ,HPR,-0.342944147," 1315., 6578., 7034., 7365.,61731."," 1315., 6421., 6887., 7166., 7439.,61731."," 1315., 5858., 6421., 6700., 6887., 7034., 7166., 7296., 7439., 7630.,
 61731."
/data/PPT03DA_P8570_SUJA_P_31303nm.nc,80,1630,223,1060,210,1047,11548.48615,1369.933676,PPT,CAMPOS(M),SUJA,RO,VH1,FALSE,,,,,,,,,,,"11145.,12599.,12921.,13102.,63317.","11145.,12520.,12804.,13006.,13138.,63317.","11145.,12324.,12520.,12671.,12804.,12921.,13006.,13070.,13138.,13255.,
 63317."
/data/BUZ40D_T013295H_SUJA_P_51000nm.nc,30,1288,148,642,144,638,2137.793124,6730.708753,BUZ,SANTOS,SUJA,ITP,IH1,TRUE,,,,,,,,,,," 1838., 8093., 8837., 9464.,55000."," 1838., 7876., 8562., 9096., 9591.,55000."," 1838., 6861., 7876., 8265., 8562., 8837., 9096., 9343., 9591., 9914.,
 55000."
/data/SPS77A_F5747H_SUJA_P_39990nm.nc,540,2012,189,836,183,830,7559.22339,12960.75054,SPH,SANTOS,SUJA,BVE,,,,,,,,,,,,," 6048.,19744.,20785.,21602.,65535."," 6048.,19426.,20429.,21111.,21783.,65535."," 6048.,18345.,19426.,20004.,20429.,20785.,21111.,21433.,21783.,22239.,
 65535."
/data/SPS104_V015660H_LIMPA_P_38830nm.nc,150,1585,177,850,178,851,2380.059983,2792.143973,BAC,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,,"  246., 4790., 5189., 5483.,43747.","  246., 4679., 5051., 5310., 5546.,43747.","  246., 4377., 4679., 4887., 5051., 5189., 5310., 5425., 5546., 5701.,
 43747."
/data/RNS0159_C010092H_LIMPA_P_33800nm.nc,85,1335,224,995,223,994,2663.485425,2330.941569,,POTIGUAR(M),LIMPA,,VH2,TRUE,,,,,,,,,,," 2785., 4809., 5039., 5265.,60965."," 2785., 4749., 4954., 5123., 5323.,60965."," 2785., 4587., 4749., 4861., 4954., 5039., 5123., 5214., 5323., 5489.,
 60965."
/data/RJS752_601400_LIMPA_AL_15000nm.nc,195,1770,329,1406,309,1386,9312.936019,3204.773623,,SANTOS,LIMPA,,,,,,,,,,,,,," 5941.,12214.,12522.,12833.,62688."," 5941.,12138.,12406.,12638.,12911.,62688."," 5941.,11936.,12138.,12283.,12406.,12522.,12638.,12763.,12911.,13120.,
 62688."
/data/RJS728_V010874H_LIMPA_P_41125nm.nc,55,1585,176,807,181,812,3368.174982,3672.618901,SBBG,SANTOS,LIMPA,BVE,VH1,TRUE,CLC,227,21.5,-4.66148135,OUTROS,CLC,HPQHPR,HPQ,HPR,2.356025857," 2560., 6460., 7035., 7441.,58935."," 2560., 6290., 6834., 7214., 7511.,58935."," 2560., 5719., 6290., 6601., 6834., 7035., 7214., 7370., 7511., 7663.,
 58935."
/data/RJS739A_V016666H_ANTES_P_39300nm.nc,165,1641,189,855,204,870,2742.699851,3632.280119,MRO,SANTOS,ANTES,BVE,VH1,TRUE,GST,1.61,11.8,-6.81814435,GST,GST,LPQHPR,LPQ,HPR,0.206825876," 2826., 6169., 6382., 6590.,63363."," 2826., 6114., 6304., 6460., 6643.,63363."," 2826., 5956., 6114., 6218., 6304., 6382., 6460., 6543., 6643., 6784.,
 63363."
/data/SPS77A_F5686H_LIMPA_P_30930nm.nc,80,1250,211,1037,215,1041,2978.963844,4042.967425,SPH,SANTOS,LIMPA,BVE,VH1,TRUE,ETR,35.7,15,-5.451288386,ETR,ETR,HPQHPR,HPQ,HPR,1.552668216," 2141., 6607., 7021., 7324.,65335."," 2141., 6476., 6884., 7143., 7390.,65335."," 2141., 6052., 6476., 6714., 6884., 7021., 7143., 7262., 7390., 7557.,
 65335."
/data/SPS77A_F5686H_LIMPA_P_33700nm.nc,45,1586,195,948,192,945,2638.776712,4107.353906,SPH,SANTOS,LIMPA,BVE,VH1,TRUE,ETR,35.7,15,-5.445418205,ETR,ETR,HPQHPR,HPQ,HPR,1.552668216," 2529., 6320., 6714., 6971.,62787."," 2529., 6191., 6587., 6822., 7023.,62787."," 2529., 5762., 6191., 6424., 6587., 6714., 6822., 6921., 7023., 7148.,
 62787."
/data/SPS77A_F4834H_LIMPA_P_51600nm.nc,120,1657,146,641,139,634,3547.319273,5565.025249,SPH,SANTOS,LIMPA,BVE,VH1,TRUE,CLC,0.408,4.9,-7.393086305,OUTROS,CLC,LPQLPR,LPQ,LPR,-0.389339837," 4030., 8774., 9183., 9711.,50274."," 4030., 8701., 8998., 9402., 9809.,50274."," 4030., 8521., 8701., 8846., 8998., 9183., 9402., 9613., 9809.,10028.,
 50274."
/data/RJS697_543800_LIMPA_AL_15598nm.nc,125,1470,261,1288,264,1291,2945.246244,3304.397093,BBG,SANTOS,LIMPA,BVE,,,,,,,,,,,,," 2481., 5853., 6222., 6531.,65277."," 2481., 5758., 6089., 6345., 6600.,65277."," 2481., 5512., 5758., 5938., 6089., 6222., 6345., 6467., 6600., 6772.,
 65277."
/data/LL31D_V010759H_LIMPA_P_39815nm.nc,20,1613,185,834,179,828,3172.812265,3376.999695,TUP,SANTOS,LIMPA,BVE,IH1,TRUE,,,,,,,,,,," 1032., 6190., 6644., 6931.,65335."," 1032., 5987., 6509., 6760., 6995.,65335."," 1032., 5066., 5987., 6325., 6509., 6644., 6760., 6872., 6995., 7155.,
 65335."
/data/LL28D_537800_LIMPA_AL_28000nm.nc,53,991,249,1187,237,1175,2036.022856,3327.022874,TUP,SANTOS,LIMPA,,,,,0.66,13.49,-7.208414471,,,LPQHPR,LPQ,HPR,-0.180456064," 1334., 5005., 5385., 5851.,65334."," 1334., 4902., 5244., 5537., 6004.,65334."," 1334., 4589., 4902., 5093., 5244., 5385., 5537., 5727., 6004., 6445.,
 65334."
/data/SPS77A_F5119H_LIMPA_P_48105nm.nc,115,1635,152,683,146,677,4979.778434,4894.257854,SPH,SANTOS,LIMPA,BVE,VH2,TRUE,ETR,0.014,4.3,-8.857678112,ETR,ETR,LPQLPR,LPQ,LPR,-1.853871964," 1933., 9589., 9867.,10127.,62829."," 1933., 9515., 9766., 9966.,10192.,62829."," 1933., 9304., 9515., 9654., 9766., 9867., 9966.,10070.,10192.,10371.,
 62829."
/data/RJS752_542970_LIMPA_AL_15000nm.nc,275,1820,330,1394,315,1379,3419.157005,1253.233341,,SANTOS,LIMPA,,,,,,,,,,,,,," 1922., 4525., 4674., 4802.,24433."," 1922., 4482., 4621., 4724., 4833.,24433."," 1922., 4346., 4482., 4561., 4621., 4674., 4724., 4775., 4833., 4912.,
 24433."
/data/CRT49_T010096H_LIMPA_P_40790nm.nc,50,1252,168,797,171,800,7731.762069,3584.343463,CRT,CAMPOS(M),LIMPA,MCB,VH1,TRUE,ETR,3.35,7.6,-6.482600562,ETR,ETR,LPQHPR,LPQ,HPR,0.525044807,"    0.,11006.,11386.,11711.,62119.","    0.,10892.,11254.,11511.,11788.,62119.","    0.,10508.,10892.,11100.,11254.,11386.,11511.,11640.,11788.,11991.,
 62119."
/data/SPS106_638650_LIMPA_AL_23500nm.nc,160,1576,285,961,241,917,2648.999146,4621.702518,,SANTOS,LIMPA,,,,,,,,,,,,,," 2647., 6974., 7262., 7523.,63752."," 2647., 6895., 7158., 7362., 7585.,63752."," 2647., 6670., 6895., 7041., 7158., 7262., 7362., 7466., 7585., 7744.,
 63752."
/data/SPS77A_F6267H_SUJA_P_40000nm.nc,445,2085,185,819,192,826,4745.307081,4546.414072,SPH,SANTOS,SUJA,BVE,,,,,,,,,,,,,"  452., 9007., 9321., 9567.,63312.","  452., 8908., 9214., 9419., 9621.,63312.","  452., 8555., 8908., 9086., 9214., 9321., 9419., 9516., 9621., 9754.,
 63312."
/data/RO78DRJS_398000_LIMPA_AL_33615nm.nc,85,1010,205,990,197,982,3077.685168,9232.703249,RO,CAMPOS(M),LIMPA,,,,,,,,,,,,,," 4452.,11921.,12325.,12737.,56544."," 4452.,11821.,12173.,12479.,12840.,56544."," 4452.,11557.,11821.,12011.,12173.,12325.,12479.,12644.,12840.,13119.,
 56544."
/data/ESP22D_P6047IH1_SECA_P_28000nm.nc,100,1355,237,1155,237,1155,5521.564218,1112.275069,ESP,CAMPOS(M),LIMPA,QM,,,,,,,,,,,,," 5209., 6482., 6621., 6727.,23054."," 5209., 6429., 6576., 6663., 6752.,23054."," 5209., 6202., 6429., 6520., 6576., 6621., 6663., 6705., 6752., 6813.,
 23054."
/data/ESP22D_P6047IH1_LIMPA_P_35000nm.nc,70,1045,198,929,193,924,5561.122445,1219.339027,ESP,CAMPOS(M),LIMPA,QM,,,,,,,,,,,,," 5442., 6633., 6771., 6878.,22391."," 5442., 6580., 6727., 6813., 6903.,22391."," 5442., 6370., 6580., 6671., 6727., 6771., 6813., 6855., 6903., 6964.,
 22391."
/data/MLL54HP_E9491H_LIMPA_P_38756nm.nc,70,1771,173,844,198,869,4225.554361,6650.004202,MLL,CAMPOS(M),LIMPA,QM,HH1,TRUE,,13.9,13.3,-5.876344802,,,HPQHPR,HPQ,HPR,1.1430148," 4179.,10420.,10981.,11364.,57635."," 4179.,10234.,10801.,11138.,11446.,57635."," 4179., 9625.,10234.,10569.,10801.,10981.,11138.,11287.,11446.,11653.,
 57635."
/data/BBG1D_574000_SUJA_AL_16200nm.nc,150,1435,342,1435,315,1408,2119.878364,2268.305505,BBG,SANTOS,SUJA,BVE,,,LMT,42.46,28.8,-5.05752703,LMT,LMT,HPQHPR,HPQ,HPR,1.62797999," 1278., 4185., 4398., 4614.,45457."," 1278., 4132., 4318., 4478., 4668.,45457."," 1278., 3992., 4132., 4232., 4318., 4398., 4478., 4565., 4668., 4816.,
 45457."
/data/SPS82A_F3569H_LIMPA_P_32450nm.nc,150,1515,221,1029,217,1025,5134.566842,3728.873353,SPH,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,322,11.7,-4.518632919,ESF,ESF,HPQHPR,HPQ,HPR,2.507855872," 3963., 8378., 8839., 9099.,62435."," 3963., 8170., 8710., 8946., 9154.,62435."," 3963., 7451., 8170., 8522., 8710., 8839., 8946., 9047., 9154., 9291.,
 62435."
/data/SPS82A_F3569H_LIMPA_P_39810nm.nc,80,1517,188,840,171,823,5114.7452,4427.318404,SPH,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,322,11.7,-4.509860342,ESF,ESF,HPQHPR,HPQ,HPR,2.507855872," 4365., 9151., 9661., 9972.,64242."," 4365., 8965., 9505., 9790.,10037.,64242."," 4365., 8369., 8965., 9294., 9505., 9661., 9790., 9911.,10037.,10195.,
 64242."
/data/BUZ48D_579100_SUJA_AL_31960nm.nc,110,1370,223,1043,218,1038,3360.619251,4325.090634,BUZ,SANTOS,SUJA,BVE,,,ETR,13.8,12.9,-5.886198827,ETR,ETR,HPQHPR,HPQ,HPR,1.139879086," 2972., 7327., 7711., 8016.,60443."," 2972., 7201., 7581., 7831., 8086.,60443."," 2972., 6725., 7201., 7425., 7581., 7711., 7831., 7952., 8086., 8263.,
 60443."
/data/RJS698_F8706H_LIMPA_P_37148nm.nc,50,1265,212,917,195,900,2521.377404,5034.101856,STUP,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,265,16.1,-4.602239901,ESF,ESF,HPQHPR,HPQ,HPR,2.423245874," 1073., 6760., 7653., 8235.,39138."," 1073., 6496., 7361., 7896., 8355.,39138."," 1073., 5765., 6496., 6988., 7361., 7653., 7896., 8121., 8355., 8649.,
 39138."
/data/BUZ33_T012913H_LIMPA_P_49050nm.nc,95,1679,160,683,157,680,8904.633614,4494.940862,BUZ,SANTOS,LIMPA,BVE,VH1,TRUE,,78.77,23.6,-5.111157223,,,HPQHPR,HPQ,HPR,1.896360845," 9484.,13052.,13400.,13761.,65028."," 9484.,12964.,13269.,13534.,13851.,65028."," 9484.,12707.,12964.,13130.,13269.,13400.,13534.,13680.,13851.,14072.,
 65028."
/data/RJS757D_659790_SUJA_AL_29000nm.nc,120,1270,279,1163,275,1159,5114.160048,6692.465092,,CAMPOS(M),SUJA,,,,,0.371,8,-7.437563283,,,LPQHPR,LPQ,HPR,-0.43062609," 2253.,11367.,11834.,12290.,33905."," 2253.,11242.,11663.,12004.,12406.,33905."," 2253.,10851.,11242.,11475.,11663.,11834.,12004.,12187.,12406.,12731.,
 33905."
/data/RJS688A_F6505H_LIMPA_P_34190nm.nc,75,1555,204,957,229,982,9032.954691,3422.847525,BUZ,SANTOS,LIMPA,BVE,VH1,TRUE,GST,46.5,12.9,-5.343171868,GST,GST,HPQHPR,HPQ,HPR,1.667452953,"    0.,12049.,12475.,12849.,60817.","    0.,11926.,12324.,12619.,12939.,60817.","    0.,11537.,11926.,12152.,12324.,12475.,12619.,12768.,12939.,13171.,
 60817."
/data/RJS742A_559800_LIMPA_AL_17250nm.nc,195,1280,357,1268,313,1224,3598.413567,2855.195991,MRO,SANTOS,LIMPA,BVE,,,GST,873,23.7,-3.640837376,GST,GST,HPQHPR,HPQ,HPR,2.941014244," 2172., 5785., 6375., 6749.,65253."," 2172., 5584., 6188., 6532., 6825.,65253."," 2172., 4950., 5584., 5944., 6188., 6375., 6532., 6677., 6825., 7008.,
 65253."
/data/BUZ7_V015734H_LIMPA_P_40635nm.nc,60,1650,178,801,186,809,2328.133365,2710.345571,BUZ,SANTOS,LIMPA,BVE,VH1,TRUE,,16.7,6.3,-5.773296817,,,HPQHPR,HPQ,HPR,1.222716471," 1968., 4918., 5151., 5361.,37304."," 1968., 4853., 5067., 5232., 5411.,37304."," 1968., 4660., 4853., 4973., 5067., 5151., 5232., 5316., 5411., 5542.,
 37304."
/data/SPS74_F2826H_LIMPA_P_42352nm.nc,25,1657,153,763,159,769,2508.762155,3699.226923,LPA,SANTOS,LIMPA,BVE,VH1,TRUE,RDS,19.9,12.9,-5.714791109,RDS,RDS,HPQHPR,HPQ,HPR,1.298853076," 2291., 5895., 6249., 6510.,62248."," 2291., 5794., 6128., 6356., 6563.,62248."," 2291., 5517., 5794., 5983., 6128., 6249., 6356., 6459., 6563., 6687.,
 62248."
/data/SPS106_629650_LIMPA_AL_22000nm.nc,140,1668,268,987,249,968,3017.327741,3889.371591,,SANTOS,LIMPA,,,,ESF,0.14,4.8,-7.441411774,ESF,ESF,LPQLPR,LPQ,LPR,-0.853871964," 4163., 6475., 6902., 7265.,55516."," 4163., 6368., 6747., 7047., 7346.,55516."," 4163., 6109., 6368., 6572., 6747., 6902., 7047., 7190., 7346., 7543.,
 55516."
/data/RJS711_F9380H_LIMPA_P_40000nm.nc,120,1602,190,832,180,822,4316.392476,3742.71736,ATP,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,1.5,14,-6.832335447,ESF,ESF,LPQHPR,LPQ,HPR,0.176091259," 4450., 7788., 8064., 8308.,57772."," 4450., 7713., 7966., 8159., 8366.,57772."," 4450., 7502., 7713., 7853., 7966., 8064., 8159., 8256., 8366., 8515.,
 57772."
